Topic-0
not,0.09806681743516268,81,,recommend,0.07020703856380474,21,,price,0.03492329300758788,15,,not,0.032724030769710394,81
dai,0.049197319911845304,38,,live,0.023020204255487862,7,,motel,0.030284396858120784,7,,recommend,0.031624156327652884,31
didn't,0.029392445368436115,22,,expect,0.01947638534455878,1,,lower,0.029925990557308886,7,,price,0.024247646555843688,31
thing,0.029250326202603108,27,,experi,0.01613406121830679,0,,monei,0.023673120908231503,6,,expect,0.017254063546279567,18
better,0.027998361665821047,26,,long,0.014870869427281217,0,,star,0.02339630860267354,4,,experi,0.01708324061932995,22
price,0.02634243291720513,13,,expens,0.014787115996494299,2,,save,0.02136810426930885,5,,dai,0.01669476489182987,38
rate,0.02359130767546643,21,,accomod,0.014639181943997357,7,,start,0.019311970779840863,5,,start,0.014458214617793405,14
review,0.021757155448459242,28,,hotwir,0.014509957420104911,6,,expect,0.01909969052642946,4,,worth,0.01324163268405595,14
best,0.02106686941642861,21,,anniversari,0.014079861761994866,2,,accommod,0.018719259405816074,2,,pai,0.013199501560420542,14
like,0.020163284290619678,20,,start,0.013836315048204855,3,,pai,0.018513540145234174,2,,monei,0.013171009336961173,11
experi,0.01965452355629483,20,,cost,0.012794821582235822,0,,happi,0.01728318290214542,0,,cost,0.01203715277452601,14
wasn't,0.017821338430864097,11,,highli,0.012663935569741387,0,,worth,0.015652426950756824,1,,star,0.01102934376914107,7
recommend,0.01546548433349445,10,,worth,0.012497274741101648,5,,experi,0.015461137083388792,2,,motel,0.01012904004532933,7
includ,0.013272515883646302,10,,safeco,0.012215493727751998,5,,qualiti,0.01503763306879855,4,,lower,0.009998467808902073,7
expect,0.013186114767851023,13,,crowd,0.012188912619919896,6,,check-out,0.013284216453965249,0,,didn't,0.00997455402477399,22
deal,0.013018465764222213,11,,choic,0.011778108471847216,4,,dollar,0.012300355681883948,1,,thing,0.009826252418328128,28
cost,0.012835858775130042,12,,field,0.01153467149679687,0,,cost,0.010480777966212556,2,,expens,0.009825157498418452,8
pai,0.01181331734905441,12,,price,0.01147721374273884,3,,scienc,0.010353047951481334,6,,better,0.009620101582008265,26
worth,0.01157519636030981,8,,extra,0.010242624877590195,0,,choic,0.010094402323580755,1,,accommod,0.009614909064366515,6
start,0.010226358025334965,6,,assort,0.009981203227177443,0,,hall,0.009925551711243385,4,,accomod,0.00935842470293898,7
centr,0.010059081450920855,8,,spend,0.009915896736841717,0,,recommend,0.009199946085660486,0,,choic,0.00866846277221638,6
place,0.009783959486244064,0,,honeymoon,0.009376209106827061,1,,expens,0.00886035857168282,2,,qualiti,0.008553170368117181,6
weekend,0.00860289744967872,0,,pai,0.00927164718697347,0,,accomod,0.008659076693232631,0,,anniversari,0.008254327786562795,5
thought,0.008396669054551444,0,,regular,0.008766613540448828,3,,employe,0.007998877559562328,0,,rate,0.007932558467171115,21
kid,0.007795046929283011,6,,cheap,0.00857309916938127,2,,anniversari,0.007798433170278702,2,,dollar,0.007909254608040974,5
basic,0.00762183363653591,7,,monei,0.008521626521824642,0,,cheap,0.007761480958528796,1,,live,0.007695673337134325,7
biggest,0.007547581660308686,7,,mile,0.007959189369364645,4,,bother,0.0075185110559262015,0,,review,0.007475935464711036,28
wouldn't,0.007546053588742287,0,,dollar,0.007816368457369223,2,,honeymoon,0.006893120657590552,0,,save,0.007170454356191827,5
earli,0.00754569143002657,0,,vacat,0.006875700402906337,1,,discount,0.006570069718812189,0,,best,0.007049778023806612,21
disappoint,0.007384789286514875,1,,game,0.00681795102517686,6,,atmospher,0.006554526962561448,1,,happi,0.0069526923994519055,10
monei,0.0073182805808278024,5,,accommod,0.006697621955747956,3,,forget,0.006060753313674814,0,,like,0.006949654781057986,20
custom,0.007046710331279717,9,,star,0.006177626942158384,2,,woman,0.006020673761693049,0,,wasn't,0.006688777163541463,11
issu,0.006634921127031884,15,,qualiti,0.006055885735498393,0,,vacat,0.005627371114758601,0,,cheap,0.006586856652003289,4
simpli,0.006418144661853171,0,,bargain,0.005910161687452698,1,,emp,0.005578756127621867,2,,long,0.0063114454954306285,9
extra,0.006397594682732589,0,,sheet,0.005841339721238514,2,,chip,0.00528413693348549,3,,honeymoon,0.006176637324426771,3
don't,0.006045049233532882,0,,luck,0.005585903931099967,0,,imo,0.005057099267958843,2,,hotwir,0.005615568930051619,6
expens,0.005827997927078555,4,,treat,0.005395264192673535,0,,bargain,0.004743180272907874,0,,extra,0.005597481224751528,0
pretti,0.005637948994911846,0,,radiu,0.005096261943752193,2,,basement,0.004560821181352064,0,,vacat,0.004902510825734856,2
guess,0.00543069484251142,3,,talk,0.004987081499782853,5,,indoor,0.004305574211164508,2,,scienc,0.004851704571454287,6
advis,0.005071116436676408,0,,afford,0.004979221051360549,0,,membership,0.0042458484677646065,2,,disappoint,0.004721869230841847,1
block,0.005059448888118084,0,,tapa,0.004759265214758234,0,,outdat,0.004178342186743767,0,,deal,0.0045013865429582465,12
half,0.004960455626759531,6,,big,0.004558252932758095,0,,worn,0.003855356438192673,0,,includ,0.004464420637427307,10
accomod,0.004777015471587254,0,,disappoint,0.004484398092419951,0,,hot,0.0037119608686085838,0,,check-out,0.004451288076809087,0
neighborhood,0.004673560830372438,5,,late,0.004290240715736713,0,,three,0.0036615878841941667,0,,safeco,0.004395440321276414,5
qualiti,0.004565992300054882,2,,discount,0.00423906393609783,0,,bewar,0.0035865438725807964,0,,highli,0.004373049055663495,0
attach,0.004523258477160358,0,,atmospher,0.004184943580490386,0,,overpr,0.0035766658392078626,0,,spend,0.004320782420284993,8
tripadvisor,0.004296705158177911,5,,labor,0.004053722491653518,2,,engin,0.003315316721105066,0,,crowd,0.00423439316991879,6
scienc,0.00416372857137691,0,,lock,0.004015908637185497,4,,children,0.0031832636263787162,0,,discount,0.004135942966107468,1
choic,0.004132877521221447,1,,safe,0.003983935860611022,0,,quaint,0.0030659410860162865,0,,atmospher,0.004120426106160177,1
left,0.004042044014667878,0,,local,0.003723276016556679,7,,ahead,0.002874885461209027,2,,bargain,0.004076805020388135,1
Topic-1
room,0.19694879375845736,364,,suit,0.03998110879830925,17,,floor,0.10115042478828708,40,,room,0.08491595821462208,379
stai,0.09853826086801183,176,,bathroom,0.03989150663216789,8,,room,0.04535922492011597,6,,floor,0.04242656287224483,75
nice,0.04815113085168381,91,,bed,0.02655797092482537,1,,shower,0.023281976652536014,3,,stai,0.04223249838699497,190
night,0.04481325314002788,92,,pleasant,0.02070807178415853,10,,bed,0.01883415232552818,1,,bed,0.026890242449341864,84
bed,0.03527860409767205,82,,enjoi,0.019540657509663727,12,,old,0.017031190268494294,5,,night,0.026244916209371368,95
good,0.034286874379366825,67,,light,0.018763771076538188,8,,night,0.015871191240453445,2,,bathroom,0.023080089485851267,51
view,0.02893241489449641,49,,night,0.01805030424763278,1,,bathroom,0.015819682043418586,2,,suit,0.017143410363656797,33
floor,0.01881700452598393,24,,tv,0.018047511728808235,4,,book,0.01575949771366004,14,,view,0.01624691491420482,59
comfort,0.018687575151936146,38,,stai,0.01765398608589472,13,,king,0.014598928781386989,5,,nice,0.016083833782238505,91
small,0.018520449036531314,42,,comfort,0.013471943827369088,4,,nois,0.014204289302761434,14,,comfort,0.013483875247398868,42
nois,0.013846221887934535,16,,pick,0.013114888247240527,11,,window,0.01352731880709364,3,,nois,0.011841377192155882,32
bathroom,0.013529079781967338,41,,cover,0.012811908181287603,5,,light,0.011657081333855616,3,,tv,0.011624060524064662,23
space,0.011846615420097068,25,,room,0.012439855965292942,9,,furnitur,0.011639942680731027,1,,good,0.011466709446922995,67
window,0.009626521013426245,16,,decor,0.012129872346651414,1,,doubl,0.010825184738666954,5,,window,0.011277993738956913,26
